video_id,group_name,title,upload_date,views,likes,comments,type
191,CORTIS, 'What You Want' Official MV,08/19/2025,25246151,656000,16029,music video
192,CORTIS, 'FaSHioN' Official MV,09/08/2025,78907865,1400000,38045,music video
193,CORTIS,JoyRide' Official MV,09/20/2025,18841215,541000,13349,music video
194,CORTIS, 'Lullaby' Official MV,09/28/2025,5818955,307000,8443,music video
195,CORTIS, 'REDRED' Official MV,04/20/2026,34995862,1100000,66958,music video
196,CORTIS, 'TNT' Official MV,05/04/2026,8425700,581000,27013,music video
197,CORTIS, 'ACAI' Official MV,05/11/2026,9758912,570000,21276,music video
198,CORTIS,‘GO!’ Dance Practice (Fix ver.),08/22/2025,9965805,333000,4130,music video
199,CORTIS,What You Want' Dance Practice (Fix ver.),08/22/2025,2530523,128000,1538,music video
200,CORTIS, ‘FaSHioN' Dance Practice (Fix ver.),09/14/2025,9233819,322000,4253,dance practice
201,CORTIS, 'REDRED' Dance Practice (Fix ver.),04/27/2026,3759281,219000,4408,dance practice
202,CORTIS,‘TNT’ Dance Practice (Fix ver.),05/08/2026,1670097,130000,3068,dance practice
203,CORTIS,‘ACAI’ Dance Practice (Fix ver.),05/20/2026,2180410,152000,4006,dance practice
204,RIIZE,Memories' MV,08/21/2023,25281573,466000,25173,music video
205,RIIZE,Get A Guitar' MV,09/04/2023,58535572,699000,42089,music video
206,RIIZE, 'Talk Saxy' MV,10/27/2023,44816457,462000,27016,music video
207,RIIZE, 'Love 119' MV,01/05/2024,32327134,540000,25717,music video
208,RIIZE,Impossible' MV,04/18/2024,32751127,406000,21275,music video
209,RIIZE, 'One Kiss' MV,04/22/2024,7632748,172000,6676,music video
210,RIIZE,9 Days' MV,04/28/2024,4816994,140000,5039,music video
211,RIIZE, 'Boom Boom Bass' MV,06/17/2024,34843967,463000,23630,music video
212,RIIZE,Lucky' MV,07/28/2024,7376552,175000,7020,music video
213,RIIZE,Bag Bad Back' MV,05/01/2025,14482611,256000,21581,music video
214,RIIZE, 'Fly Up' MV,05/19/2025,52361284,207000,25758,music video
215,RIIZE,Fame' MV,11/24/2025,29708186,203000,18387,music video
216,RIIZE,All of You' MV,02/17/2026,4221472,70000,5034,music video
217,RIIZE, 'Siren' Dance Practice,08/11/2023,7031269,210000,4294,dance practice
218,RIIZE, 'Memories' Dance Practice,09/16/2023,1098254,47000,1174,dance practice
219,RIIZE,Get A Guitar' Dance Practice,09/19/2023,3509635,91000,1702,dance practice
220,RIIZE, ‘Talk Saxy’ Dance Practice,10/29/2023,2039360,75000,2269,dance practice
221,RIIZE, 'Love 119' Performance Video,01/26/2024,773989,32000,955,dance practice
222,RIIZE, 'Impossible' Dance Practice,04/23/2024,2454199,88000,2087,dance practice
223,RIIZE, 'Boom Boom Bass' Dance Practice,06/26/2024,5268627,119000,2513,dance practice
224,RIIZE,Lucky' Dance Practice,08/16/2024,922620,36000,1464,dance practice
225,RIIZE, 'Hug (포옹)' Dance Practice,02/06/2025,386582,19000,1023,dance practice
226,RIIZE,Bag Bad Back' Dance Practice,05/05/2025,1010996,42000,2370,dance practice
227,RIIZE, 'Fly Up' Dance Practice,05/26/2025,729964,28000,1044,dance practice
228,RIIZE,잉걸 (Ember to Solar)' Dance Practice,06/08/2025,447320,20000,985,dance practice
229,RIIZE, 'Fame' Dance Practice,12/02/2025,754612,39000,1904,dance practice
